"No.","Zone Name","Zone Channel Member","Zone Channel Member RX Frequency","Zone Channel Member TX Frequency","A Channel","A Channel RX Frequency","A Channel TX Frequency","B Channel","B Channel RX Frequency","B Channel TX Frequency"
"1","Ariel/Ariel VHF","ARI Audio Test 2|ARI BC 1|ARI Bridge 2|ARI California 1|ARI Canada 2|ARI Cascad 1|ARI Comm 1|ARI I-5-1|ARI Local 1|ARI Local 2|ARI Montana 2|ARI Net 2|ARI North Am 2|ARI Oregon 1|ARI Parrot 1|ARI PNW 1|ARI PNW 2|ARI PS1-DNU|ARI PS2-DNU|ARI TAC 1-2|ARI TAC 310-2|ARI TAC 311-2|ARI TAC 312-2|ARI TAC 313-2|ARI TAC 314-2|ARI TAC 319-2|ARI USA 2|ARI Wash 1|ARI Wash 2|ARI Worldwide 2","147.4125|147.4125|147.4125|147.4125|147.4125|147.4125|147.4125|147.4125|147.4125|147.4125|147.4125|147.4125|147.4125|147.4125|147.4125|147.4125|147.4125|147.4125|147.4125|147.4125|147.4125|147.4125|147.4125|147.4125|147.4125|147.4125|147.4125|147.4125|147.4125|147.4125","146.4125|146.4125|146.4125|146.4125|146.4125|146.4125|146.4125|146.4125|146.4125|146.4125|146.4125|146.4125|146.4125|146.4125|146.4125|146.4125|146.4125|146.4125|146.4125|146.4125|146.4125|146.4125|146.4125|146.4125|146.4125|146.4125|146.4125|146.4125|146.4125|146.4125","ARI Audio Test 2","147.4125","146.4125","ARI Audio Test 2","147.4125","146.4125"
"2","BC/Ambleside","AMB BC 1|AMB BC 2|AMB BC Loc Net 1|AMB Canada 2|AMB Comm 1|AMB Comm 2|AMB I-5-1|AMB North Am 2|AMB PNW 1|AMB PNW 2|AMB TAC 310-2|AMB TAC Eng 2|AMB Wash 1|AMB Wash 2|AMB Worldwide 2|AMB WW Eng 2","443.85|443.85|443.85|443.85|443.85|443.85|443.85|443.85|443.85|443.85|443.85|443.85|443.85|443.85|443.85|443.85","448.85|448.85|448.85|448.85|448.85|448.85|448.85|448.85|448.85|448.85|448.85|448.85|448.85|448.85|448.85|448.85","AMB BC 1","443.85","448.85","AMB BC 1","443.85","448.85"
"3","BC/Blackcomb Mtn","BLA BC 1|BLA BC 2|BLA BC Loc Net 1|BLA Canada 2|BLA Comm 1|BLA Comm 2|BLA I-5-1|BLA North Am 2|BLA PNW 1|BLA PNW 2|BLA TAC 310-2|BLA TAC Eng 2|BLA Wash 1|BLA Wash 2|BLA Worldwide 2|BLA WW Eng 2","443.85|443.85|443.85|443.85|443.85|443.85|443.85|443.85|443.85|443.85|443.85|443.85|443.85|443.85|443.85|443.85","448.85|448.85|448.85|448.85|448.85|448.85|448.85|448.85|448.85|448.85|448.85|448.85|448.85|448.85|448.85|448.85","BLA BC 1","443.85","448.85","BLA BC 1","443.85","448.85"
"4","BC/Mt. Seymour","SEY BC 1|SEY BC 2|SEY BC Loc Net 1|SEY Canada 2|SEY Comm 1|SEY Comm 2|SEY I-5-1|SEY North Am 2|SEY PNW 1|SEY PNW 2|SEY TAC 310-2|SEY TAC Eng 2|SEY Wash 1|SEY Wash 2|SEY Worldwide 2|SEY WW Eng 2","443.4|443.4|443.4|443.4|443.4|443.4|443.4|443.4|443.4|443.4|443.4|443.4|443.4|443.4|443.4|443.4","448.4|448.4|448.4|448.4|448.4|448.4|448.4|448.4|448.4|448.4|448.4|448.4|448.4|448.4|448.4|448.4","SEY BC 1","443.4","448.4","SEY BC 1","443.4","448.4"
"5","BC/New Westmin","NEW BC 1|NEW BC 2|NEW BC Loc Net 1|NEW Bridge 2|NEW Canada 2|NEW Comm 1|NEW Comm 2|NEW I-5-1|NEW North Am 2|NEW PNW 1|NEW PNW 2|NEW TAC 310-2|NEW TAC Eng 2|NEW Wash 1|NEW Wash 2|NEW Worldwide 2|NEW WW Eng 2","444.6|444.6|444.6|444.6|444.6|444.6|444.6|444.6|444.6|444.6|444.6|444.6|444.6|444.6|444.6|444.6|444.6","449.6|449.6|449.6|449.6|449.6|449.6|449.6|449.6|449.6|449.6|449.6|449.6|449.6|449.6|449.6|449.6|449.6","NEW BC 1","444.6","449.6","NEW BC 1","444.6","449.6"
"6","Bellingham UHF","BEU Audio Test 2|BEU BC 1|BEU Bridge 2|BEU California 1|BEU Canada 2|BEU Cascad 1|BEU Comm 1|BEU I-5-1|BEU Idaho 1|BEU Local 1|BEU Local 2|BEU Montana 2|BEU North Am 2|BEU Oregon 1|BEU Parrot 1|BEU PNW 1|BEU PNW 2|BEU PS1-DNU|BEU PS2-DNU|BEU SNARS 1-2|BEU TAC 1-2|BEU TAC 2-2|BEU TAC 310-2|BEU TAC 311-2|BEU TAC 312-2|BEU TAC 313-2|BEU TAC 314-2|BEU TAC 315-2|BEU TAC 316-2|BEU TAC 317-2|BEU TAC 318-2|BEU TAC 319-2|BEU TAC 3-2|BEU TAC Eng 2|BEU USA 2|BEU Wash 1|BEU Wash 2|BEU Worldwide 2|BEU WW Eng 2","440.925|440.925|440.925|440.925|440.925|440.925|440.925|440.925|440.925|440.925|440.925|440.925|440.925|440.925|440.925|440.925|440.925|440.925|440.925|440.925|440.925|440.925|440.925|440.925|440.925|440.925|440.925|440.925|440.925|440.925|440.925|440.925|440.925|440.925|440.925|440.925|440.925|440.925|440.925","445.925|445.925|445.925|445.925|445.925|445.925|445.925|445.925|445.925|445.925|445.925|445.925|445.925|445.925|445.925|445.925|445.925|445.925|445.925|445.925|445.925|445.925|445.925|445.925|445.925|445.925|445.925|445.925|445.925|445.925|445.925|445.925|445.925|445.925|445.925|445.925|445.925|445.925|445.925","BEU Audio Test 2","440.925","445.925","BEU Audio Test 2","440.925","445.925"
"7","Bellingham VHF","BEV Audio Test 2|BEV BC 1|BEV Bridge 2|BEV California 1|BEV Canada 2|BEV Cascad 1|BEV Comm 1|BEV Hawaii 1-2|BEV I-5-1|BEV Idaho 1|BEV Local 1|BEV Local 2|BEV Montana 2|BEV Net 2|BEV North Am 2|BEV Oregon 1|BEV Parrot 1|BEV PNW 1|BEV PNW 2|BEV PS1-DNU|BEV PS2-DNU|BEV SNARS 1-2|BEV TAC 1-2|BEV TAC 2-2|BEV TAC 310-2|BEV TAC 311-2|BEV TAC 312-2|BEV TAC 313-2|BEV TAC 314-2|BEV TAC 315-2|BEV TAC 316-2|BEV TAC 317-2|BEV TAC 318-2|BEV TAC 319-2|BEV TAC 3-2|BEV TAC Eng 2|BEV USA 2|BEV Wash 1|BEV Wash 2|BEV Worldwide 2|BEV WW Eng 2","146.5|146.5|146.5|146.5|146.5|146.5|146.5|146.5|146.5|146.5|146.5|146.5|146.5|146.5|146.5|146.5|146.5|146.5|146.5|146.5|146.5|146.5|146.5|146.5|146.5|146.5|146.5|146.5|146.5|146.5|146.5|146.5|146.5|146.5|146.5|146.5|146.5|146.5|146.5|146.5|146.5","147.5|147.5|147.5|147.5|147.5|147.5|147.5|147.5|147.5|147.5|147.5|147.5|147.5|147.5|147.5|147.5|147.5|147.5|147.5|147.5|147.5|147.5|147.5|147.5|147.5|147.5|147.5|147.5|147.5|147.5|147.5|147.5|147.5|147.5|147.5|147.5|147.5|147.5|147.5|147.5|147.5","BEV Audio Test 2","146.5","147.5","BEV Audio Test 2","146.5","147.5"
"8","Biggs/Juniper Pt","BJJ ARRG 2|BJJ Audio Test 2|BJJ BayNet 2|BJJ BC 1|BJJ Bridge 2|BJJ California 1|BJJ Cascad 1|BJJ Comm 1|BJJ I-5-1|BJJ I-84-2|BJJ Idaho 1|BJJ Local 1|BJJ Montana 2|BJJ Mountain 2|BJJ MPRG 1-2|BJJ Net 2|BJJ North Am 2|BJJ Oregon 1|BJJ Parrot 1|BJJ PNW 1|BJJ PNW 2|BJJ PNW Reg 2|BJJ SNARS 1-2|BJJ SoCal 2|BJJ TAC 1-2|BJJ TAC 2-2|BJJ TAC 310-2|BJJ TAC 3-2|BJJ USA 2|BJJ Utah 2|BJJ Wash 1|BJJ Wash 2|BJJ Worldwide 2|BJJ WW Eng 2","443.325|443.325|443.325|443.325|443.325|443.325|443.325|443.325|443.325|443.325|443.325|443.325|443.325|443.325|443.325|443.325|443.325|443.325|443.325|443.325|443.325|443.325|443.325|443.325|443.325|443.325|443.325|443.325|443.325|443.325|443.325|443.325|443.325|443.325","448.325|448.325|448.325|448.325|448.325|448.325|448.325|448.325|448.325|448.325|448.325|448.325|448.325|448.325|448.325|448.325|448.325|448.325|448.325|448.325|448.325|448.325|448.325|448.325|448.325|448.325|448.325|448.325|448.325|448.325|448.325|448.325|448.325|448.325","BJJ ARRG 2","443.325","448.325","BJJ ARRG 2","443.325","448.325"
"9","Boistfort/BawFaw","BAW Audio Test 2|BAW BC 1|BAW Bridge 2|BAW California 1|BAW Canada 2|BAW Cascad 1|BAW Comm 1|BAW I-5-1|BAW Local 1|BAW Local 2|BAW Montana 2|BAW Net 2|BAW North Am 2|BAW Oregon 1|BAW Parrot 1|BAW PNW 1|BAW PNW 2|BAW PS1-DNU|BAW PS2-DNU|BAW TAC 1-2|BAW TAC 310-2|BAW TAC 311-2|BAW TAC 312-2|BAW TAC 313-2|BAW TAC 314-2|BAW TAC 319-2|BAW USA 2|BAW Wash 1|BAW Wash 2|BAW Worldwide 2","146.5|146.5|146.5|146.5|146.5|146.5|146.5|146.5|146.5|146.5|146.5|146.5|146.5|146.5|146.5|146.5|146.5|146.5|146.5|146.5|146.5|146.5|146.5|146.5|146.5|146.5|146.5|146.5|146.5|146.5","147.5|147.5|147.5|147.5|147.5|147.5|147.5|147.5|147.5|147.5|147.5|147.5|147.5|147.5|147.5|147.5|147.5|147.5|147.5|147.5|147.5|147.5|147.5|147.5|147.5|147.5|147.5|147.5|147.5|147.5","BAW Audio Test 2","146.5","147.5","BAW Audio Test 2","146.5","147.5"
"10","Bremerton/Gold","BRE Audio Test 2|BRE BC 1|BRE Bridge 2|BRE California 1|BRE Canada 2|BRE Cascad 1|BRE Comm 1|BRE Hawaii 1-2|BRE I-5-1|BRE Local 1|BRE Local 2|BRE Montana 2|BRE Net 2|BRE North Am 2|BRE Oregon 1|BRE Parrot 1|BRE PNW 1|BRE PNW 2|BRE PNW Reg 2|BRE PS1-DNU|BRE PS2-DNU|BRE SNARS 1-2|BRE TAC 1-2|BRE TAC 2-2|BRE TAC 310-2|BRE TAC 311-2|BRE TAC 312-2|BRE TAC 313-2|BRE TAC 314-2|BRE TAC 315-2|BRE TAC 316-2|BRE TAC 317-2|BRE TAC 318-2|BRE TAC 319-2|BRE TAC 3-2|BRE TAC Eng 2|BRE USA 2|BRE Wash 1|BRE Wash 2|BRE Worldwide 2|BRE WW Eng 2","440.7|440.7|440.7|440.7|440.7|440.7|440.7|440.7|440.7|440.7|440.7|440.7|440.7|440.7|440.7|440.7|440.7|440.7|440.7|440.7|440.7|440.7|440.7|440.7|440.7|440.7|440.7|440.7|440.7|440.7|440.7|440.7|440.7|440.7|440.7|440.7|440.7|440.7|440.7|440.7|440.7","445.7|445.7|445.7|445.7|445.7|445.7|445.7|445.7|445.7|445.7|445.7|445.7|445.7|445.7|445.7|445.7|445.7|445.7|445.7|445.7|445.7|445.7|445.7|445.7|445.7|445.7|445.7|445.7|445.7|445.7|445.7|445.7|445.7|445.7|445.7|445.7|445.7|445.7|445.7|445.7|445.7","BRE Audio Test 2","440.7","445.7","BRE Audio Test 2","440.7","445.7"
"11","Chinook/Megler V","CHI Audio Test 2|CHI BC 1|CHI Bridge 2|CHI California 1|CHI Cascad 1|CHI Idaho 1|CHI Local 1|CHI Local 2|CHI Montana 2|CHI Mountain 2|CHI Net 2|CHI North Am 2|CHI Oregon 1|CHI Parrot 1|CHI PNW 1|CHI PNW 2|CHI PNW Reg 2|CHI TAC 1-2|CHI TAC 2-2|CHI TAC 310-2|CHI TAC 311-2|CHI TAC 312-2|CHI TAC 3-2|CHI USA 2|CHI Wash 1|CHI Wash 2|CHI Worldwide 2","147.4375|147.4375|147.4375|147.4375|147.4375|147.4375|147.4375|147.4375|147.4375|147.4375|147.4375|147.4375|147.4375|147.4375|147.4375|147.4375|147.4375|147.4375|147.4375|147.4375|147.4375|147.4375|147.4375|147.4375|147.4375|147.4375|147.4375","146.3375|146.3375|146.3375|146.3375|146.3375|146.3375|146.3375|146.3375|146.3375|146.3375|146.3375|146.3375|146.3375|146.3375|146.3375|146.3375|146.3375|146.3375|146.3375|146.3375|146.3375|146.3375|146.3375|146.3375|146.3375|146.3375|146.3375","CHI Audio Test 2","147.4375","146.3375","CHI Audio Test 2","147.4375","146.3375"
"12","Corbett/Lookout","COR ARRG 2|COR Audio Test 2|COR BayNet 2|COR BC 1|COR Bridge 2|COR California 1|COR Cascad 1|COR Comm 1|COR I-5-1|COR I-84-2|COR Idaho 1|COR Local 1|COR Montana 2|COR Mountain 2|COR MPRG 1-2|COR Net 2|COR North Am 2|COR Oregon 1|COR Parrot 1|COR PNW 1|COR PNW 2|COR PNW Reg 2|COR SNARS 1-2|COR SoCal 2|COR TAC 1-2|COR TAC 2-2|COR TAC 310-2|COR TAC 3-2|COR USA 2|COR Utah 2|COR Wash 1|COR Wash 2|COR Worldwide 2|COR WW Eng 2","444.15|444.15|444.15|444.15|444.15|444.15|444.15|444.15|444.15|444.15|444.15|444.15|444.15|444.15|444.15|444.15|444.15|444.15|444.15|444.15|444.15|444.15|444.15|444.15|444.15|444.15|444.15|444.15|444.15|444.15|444.15|444.15|444.15|444.15","449.15|449.15|449.15|449.15|449.15|449.15|449.15|449.15|449.15|449.15|449.15|449.15|449.15|449.15|449.15|449.15|449.15|449.15|449.15|449.15|449.15|449.15|449.15|449.15|449.15|449.15|449.15|449.15|449.15|449.15|449.15|449.15|449.15|449.15","COR ARRG 2","444.15","449.15","COR ARRG 2","444.15","449.15"
"13","Couer d' Alene","CDA Audio Test 2|CDA Bridge 2|CDA Cascad 1|CDA I-84-2|CDA Idaho 1|CDA Idaho ARES 2|CDA Local 1|CDA Local 2|CDA Montana 2|CDA Mountain 2|CDA MPRG 1-2|CDA Net 2|CDA Oregon 1|CDA Parrot 1|CDA PNW 1|CDA PNW 2|CDA SNARS 1-2|CDA TAC 1-2|CDA TAC 2-2|CDA TAC 310-2|CDA TAC 311-2|CDA TAC 312-2|CDA TAC 313-2|CDA TAC 314-2|CDA TAC 315-2|CDA TAC 316-2|CDA TAC 317-2|CDA TAC 318-2|CDA TAC 319-2|CDA TAC 3-2|CDA Wash 1|CDA Wash 2","440.925|440.925|440.925|440.925|440.925|440.925|440.925|440.925|440.925|440.925|440.925|440.925|440.925|440.925|440.925|440.925|440.925|440.925|440.925|440.925|440.925|440.925|440.925|440.925|440.925|440.925|440.925|440.925|440.925|440.925|440.925|440.925","445.925|445.925|445.925|445.925|445.925|445.925|445.925|445.925|445.925|445.925|445.925|445.925|445.925|445.925|445.925|445.925|445.925|445.925|445.925|445.925|445.925|445.925|445.925|445.925|445.925|445.925|445.925|445.925|445.925|445.925|445.925|445.925","CDA Audio Test 2","440.925","445.925","CDA Audio Test 2","440.925","445.925"
"14","Ellens/SunE UHF","ELU Audio Test 2|ELU BC 1|ELU Bridge 2|ELU California 1|ELU Canada 2|ELU Cascad 1|ELU Comm 1|ELU Idaho 1|ELU Local 1|ELU Local 2|ELU Montana 2|ELU Net 2|ELU North Am 2|ELU Oregon 1|ELU Parrot 1|ELU PNW 1|ELU PNW 2|ELU PNW Reg 2|ELU PS1-DNU|ELU PS2-DNU|ELU TAC 1-2|ELU TAC 2-2|ELU TAC 310-2|ELU TAC 311-2|ELU TAC 312-2|ELU TAC 313-2|ELU TAC 314-2|ELU TAC 315-2|ELU TAC 316-2|ELU TAC 317-2|ELU TAC 318-2|ELU TAC 319-2|ELU TAC 3-2|ELU TAC Eng 2|ELU USA 2|ELU Wash 1|ELU Wash 2|ELU WW Eng 2","440.925|440.925|440.925|440.925|440.925|440.925|440.925|440.925|440.925|440.925|440.925|440.925|440.925|440.925|440.925|440.925|440.925|440.925|440.925|440.925|440.925|440.925|440.925|440.925|440.925|440.925|440.925|440.925|440.925|440.925|440.925|440.925|440.925|440.925|440.925|440.925|440.925|440.925","445.925|445.925|445.925|445.925|445.925|445.925|445.925|445.925|445.925|445.925|445.925|445.925|445.925|445.925|445.925|445.925|445.925|445.925|445.925|445.925|445.925|445.925|445.925|445.925|445.925|445.925|445.925|445.925|445.925|445.925|445.925|445.925|445.925|445.925|445.925|445.925|445.925|445.925","ELU Audio Test 2","440.925","445.925","ELU Audio Test 2","440.925","445.925"
"15","Ellens/SunE VHF","ELV Audio Test 2|ELV BC 1|ELV Bridge 2|ELV California 1|ELV Canada 2|ELV Cascad 1|ELV Idaho 1|ELV Local 1|ELV Local 2|ELV Montana 2|ELV Net 2|ELV North Am 2|ELV Oregon 1|ELV Parrot 1|ELV PNW 1|ELV PNW 2|ELV PNW Reg 2|ELV PS1-DNU|ELV TAC 1-2|ELV TAC 2-2|ELV TAC 310-2|ELV TAC 3-2|ELV USA 2|ELV Wash 1|ELV Wash 2","147.4125|147.4125|147.4125|147.4125|147.4125|147.4125|147.4125|147.4125|147.4125|147.4125|147.4125|147.4125|147.4125|147.4125|147.4125|147.4125|147.4125|147.4125|147.4125|147.4125|147.4125|147.4125|147.4125|147.4125|147.4125","146.4125|146.4125|146.4125|146.4125|146.4125|146.4125|146.4125|146.4125|146.4125|146.4125|146.4125|146.4125|146.4125|146.4125|146.4125|146.4125|146.4125|146.4125|146.4125|146.4125|146.4125|146.4125|146.4125|146.4125|146.4125","ELV Audio Test 2","147.4125","146.4125","ELV Audio Test 2","147.4125","146.4125"
"16","Ephrata/Beasley","EPH Audio Test 2|EPH BC 1|EPH BC 2|EPH California 1|EPH Cascad 1|EPH Comm 1|EPH Idaho 1|EPH PNW Reg 2|EPH TAC 1-2|EPH TAC 2-2|EPH Wash 1","147.4125|147.4125|147.4125|147.4125|147.4125|147.4125|147.4125|147.4125|147.4125|147.4125|147.4125","146.4125|146.4125|146.4125|146.4125|146.4125|146.4125|146.4125|146.4125|146.4125|146.4125|146.4125","EPH Audio Test 2","147.4125","146.4125","EPH Audio Test 2","147.4125","146.4125"
"17","Everson-Mt Sumas","EVE Audio Test 2|EVE BC 1|EVE Bridge 2|EVE California 1|EVE Canada 2|EVE Cascad 1|EVE Comm 1|EVE Hawaii 1-2|EVE I-5-1|EVE Local 1|EVE Local 2|EVE Montana 2|EVE Net 2|EVE North Am 2|EVE Oregon 1|EVE Parrot 1|EVE PNW 2|EVE PNW Reg 2|EVE PS1-DNU|EVE PS2-DNU|EVE TAC 1-2|EVE TAC 2-2|EVE TAC 310-2|EVE TAC 311-2|EVE TAC 313-2|EVE TAC 314-2|EVE TAC 319-2|EVE TAC 3-2|EVE USA 2|EVE Wash 1|EVE Wash 2|EVE Worldwide 2|EVE WW Eng 2","440.375|440.375|440.375|440.375|440.375|440.375|440.375|440.375|440.375|440.375|440.375|440.375|440.375|440.375|440.375|440.375|440.375|440.375|440.375|440.375|440.375|440.375|440.375|440.375|440.375|440.375|440.375|440.375|440.375|440.375|440.375|440.375|440.375","445.375|445.375|445.375|445.375|445.375|445.375|445.375|445.375|445.375|445.375|445.375|445.375|445.375|445.375|445.375|445.375|445.375|445.375|445.375|445.375|445.375|445.375|445.375|445.375|445.375|445.375|445.375|445.375|445.375|445.375|445.375|445.375|445.375","EVE Audio Test 2","440.375","445.375","EVE Audio Test 2","440.375","445.375"
"18","Gresham/Hospital","GRE ARRG 2|GRE BayNet 2|GRE BC 1|GRE Bridge 2|GRE California 1|GRE Cascad 1|GRE Comm 1|GRE I-5-1|GRE I-84-2|GRE Idaho 1|GRE Local 1|GRE Montana 2|GRE Mountain 2|GRE MPRG 1-2|GRE Net 2|GRE North Am 2|GRE Oregon 1|GRE Parrot 1|GRE PNW 1|GRE PNW 2|GRE PNW Reg 2|GRE SNARS 1-2|GRE SoCal 2|GRE TAC 1-2|GRE TAC 2-2|GRE TAC 310-2|GRE TAC 3-2|GRE USA 2|GRE Utah 2|GRE Wash 1|GRE Wash 2|GRE Worldwide 2|GRE WW Eng 2","443.1|443.1|443.1|443.1|443.1|443.1|443.1|443.1|443.1|443.1|443.1|443.1|443.1|443.1|443.1|443.1|443.1|443.1|443.1|443.1|443.1|443.1|443.1|443.1|443.1|443.1|443.1|443.1|443.1|443.1|443.1|443.1|443.1","448.1|448.1|448.1|448.1|448.1|448.1|448.1|448.1|448.1|448.1|448.1|448.1|448.1|448.1|448.1|448.1|448.1|448.1|448.1|448.1|448.1|448.1|448.1|448.1|448.1|448.1|448.1|448.1|448.1|448.1|448.1|448.1|448.1","GRE ARRG 2","443.1","448.1","GRE ARRG 2","443.1","448.1"
"19","Hillsburo/Saddle","PSA ARRG 2|PSA BayNet 2|PSA BC 1|PSA Bridge 2|PSA California 1|PSA Cascad 1|PSA Comm 1|PSA I-5-1|PSA I-84-2|PSA Idaho 1|PSA Local 1|PSA Montana 2|PSA Mountain 2|PSA MPRG 1-2|PSA Net 2|PSA North Am 2|PSA Oregon 1|PSA Parrot 1|PSA PNW 1|PSA PNW 2|PSA PNW Reg 2|PSA SNARS 1-2|PSA SoCal 2|PSA TAC 1-2|PSA TAC 2-2|PSA TAC 310-2|PSA TAC 3-2|PSA USA 2|PSA Utah 2|PSA Wash 1|PSA Wash 2|PSA Worldwide 2|PSA WW Eng 2","440.8125|440.8125|440.8125|440.8125|440.8125|440.8125|440.8125|440.8125|440.8125|440.8125|440.8125|440.8125|440.8125|440.8125|440.8125|440.8125|440.8125|440.8125|440.8125|440.8125|440.8125|440.8125|440.8125|440.8125|440.8125|440.8125|440.8125|440.8125|440.8125|440.8125|440.8125|440.8125|440.8125","445.8125|445.8125|445.8125|445.8125|445.8125|445.8125|445.8125|445.8125|445.8125|445.8125|445.8125|445.8125|445.8125|445.8125|445.8125|445.8125|445.8125|445.8125|445.8125|445.8125|445.8125|445.8125|445.8125|445.8125|445.8125|445.8125|445.8125|445.8125|445.8125|445.8125|445.8125|445.8125|445.8125","PSA ARRG 2","440.8125","445.8125","PSA ARRG 2","440.8125","445.8125"
